CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C30077,1138.8210589136993,0.8685295094520951,6974.453595970543,679.1271007413739,2760.789107542344,111.79879736408134,0.8862229542035721,0.1771976997195209,0.7329037320949883,0.0605491998426932,1,21,4303.0,2340.5721019698626,435.0510632098208,0.0661529630434345,12
C29345,2356.816520944717,0.9754590506038686,8051.387343484941,5596.142717342075,3478.673978857086,0.0,0.908954888738558,0.5585213842954327,0.5620527514274793,0.0740027597852534,1,43,7900.0,2332.228650640126,273.0762131925378,0.9734657089622416,12
C23726,2944.2371455961184,0.9712886174169396,7420.28508877597,6770.429459839094,1467.751483188774,318.20772712240085,0.932564900041293,0.6679787007174919,0.6336721242901658,0.0046733481115645,0,28,11044.0,6982.6550990024725,786.217629030025,0.4044891919039033,12
C28521,25.615822700402347,0.465031733876681,354.43404927698384,0.0,62.79535918689217,85.57449521490864,0.0533007713438363,0.2031138409586524,0.043615242406214,0.0099872563082505,0,1,2386.0,371.5955381108709,325.1897361800825,0.0618072088289661,12
C30497,238.61481608271728,0.0054236445490223,248.83136079156276,129.8644954237814,56.36235344741016,0.0,0.0532718604130994,0.0236161950261936,0.0065199548819329,0.045157848292965,1,1,1930.0,348.3984138832008,205.10381609889188,0.1741803800851278,12
C29069,6729.570569008834,0.968652125752432,394.9546391543611,224.16822510331747,117.75415522996695,4645.379735112611,0.0612193504158323,0.1355297403099308,0.0727368474688723,0.6889279173327706,14,6,5720.0,1776.562027665073,1096.3673286139533,0.0,12
C24835,843.0094673254093,0.9450112759378584,5412.308864000726,0.0,4153.615323945419,59.47914609575655,0.8294294096197972,0.291295669722696,0.7773435010494547,0.0271761603958284,0,20,6186.0,2796.9351837067948,355.71335691077263,0.1557000132328859,12
C22539,0.0,0.5439989486755176,108.5818324657993,406.9995456123155,169.0134475242772,82.69554137660785,0.1422190479497235,0.0328707772759139,0.0478144904103627,0.0282469795090262,0,4,2674.0,55.44696440408823,77.05874752469173,0.008472927839394,12
C25768,1287.665798845612,0.9795628638952816,4534.996050863154,292.8317309392378,4369.240434383232,284.0754162631339,0.8775311932357119,0.0552317311625708,0.7493444125957984,0.0634978624032547,2,33,6298.0,3054.081147820182,230.1670375742619,0.0349968099161079,12
C25894,3920.137207664585,0.9696369079109176,90.00849643744448,322.34369521971564,308.0616628904649,7943.092610739723,0.224235236161149,0.1429375129362827,0.1643788200801102,0.8752802918563111,16,0,,966.5706117033887,1277.2312495776864,0.0378677776636846,12
C23002,1993.323649241088,0.9890705663669602,4595.2939433707925,689.9829582507826,3172.4388367232864,203.9991996593008,0.941437107038533,0.1938620619149183,0.9297952514832404,0.0188115592523444,0,18,4861.0,3749.1317751727343,265.49435682549006,0.1336496834400512,12
